"ID","Title","Case ID","Comment","Defects","Elapsed","Estimate","Forecast","In Progress","Plan","Plan ID","Priority","References","Run","Run Configuration","Run ID","Section","Section Depth","Section Description","Type","Version"
"T130182","Privacy Popup - Reinstall after 30th March is treated as a new user","C126853","","","","","","","","","High","","Manual Spider Solitaire 8.0.3 - Regression","","R1471","Privacy Policy Popup","0","","Functional",""
"T130183","Banner Kill - Intrusive banner on the table is auto-killed","C126854","","","","","","","","","Critical","","Manual Spider Solitaire 8.0.3 - Regression","","R1471","Banner Kill","0","","Functional",""
"T130184","Banner Kill - A new banner request runs after a kill","C126855","","","","","","","","","High","","Manual Spider Solitaire 8.0.3 - Regression","","R1471","Banner Kill","0","","Functional",""
"T130185","Age Gate - First launch shows the age modal","C126856","","","","","","","","","High","","Manual Spider Solitaire 8.0.3 - Regression","","R1471","Age Gate","0","","Functional",""
"T130209","Localization - iOS language among zh/fr/de/it/ja/es is used in the UI","C128602","","","","","","","","","Medium","","Manual Spider Solitaire 8.0.3 - Regression","","R1471","Localization","0","","Other",""
"T130210","Localization - Language outside zh/en/fr/de/it/ja/es falls back to English","C128603","","","","","","","","","Medium","","Manual Spider Solitaire 8.0.3 - Regression","","R1471","Localization","0","","Other",""
"T130211","Localization - German strings do not clip on menu and Options","C128604","","","","","","","","","Medium","","Manual Spider Solitaire 8.0.3 - Regression","","R1471","Localization","0","","Other",""
"T130212","Localization -  First-run popups are translated; Terms/Privacy pages stay English","C128605","","","","","","","","","Medium","","Manual Spider Solitaire 8.0.3 - Regression","","R1471","Localization","0","","Other",""
"T130213","Localization - Help, About, Stats, and Victory are translated","C128606","","","","","","","","","Medium","","Manual Spider Solitaire 8.0.3 - Regression","","R1471","Localization","0","","Other",""
"T130214","Localization - iOS language survives force-quit and upgrade","C128607","","","","","","","","","Medium","","Manual Spider Solitaire 8.0.3 - Regression","","R1471","Localization","0","","Other",""
"T130215","Localization -  Dev Panel can set the app language","C128608","","","","","","","","","Medium","","Manual Spider Solitaire 8.0.3 - Regression","","R1471","Localization","0","","Other",""
"T130216","Localization - Dev Panel language overrides iOS Settings","C128609","","","","","","","","","Medium","","Manual Spider Solitaire 8.0.3 - Regression","","R1471","Localization","0","","Other",""
"T130217","Localization -All seven shipping languages show a translated main menu","C128610","","","","","","","","","Medium","","Manual Spider Solitaire 8.0.3 - Regression","","R1471","Localization","0","","Other",""
"T130218","Localization - Chinese and Japanese glyphs render on menu and table","C128611","","","","","","","","","Medium","","Manual Spider Solitaire 8.0.3 - Regression","","R1471","Localization","0","","Other",""
"T130219","Localization - Switching back to English via Dev Panel restores English UI","C128612","","","","","","","","","Medium","","Manual Spider Solitaire 8.0.3 - Regression","","R1471","Localization","0","","Other",""
